ID,Time,Emotion,Probabilities
0,2023-06-12 01:42:36.551540,happy,"[1.4299128e-03 2.5145221e-04 1.7186188e-03 9.8763067e-01 6.9372117e-04
 3.1803153e-04 7.9574939e-03]"
0,2023-06-12 01:42:36.883159,happy,"[3.6450420e-03 2.7702752e-04 2.6207648e-03 9.7017473e-01 1.6287805e-03
 4.2320782e-04 2.1230478e-02]"
0,2023-06-12 01:42:37.094475,happy,"[0.02829637 0.01060746 0.05640093 0.7664117  0.0239066  0.00569999
 0.10867689]"
0,2023-06-12 01:42:37.299231,happy,"[3.9209463e-03 6.2110246e-04 1.1338571e-02 9.6310735e-01 5.6287511e-03
 8.1459148e-04 1.4568638e-02]"
0,2023-06-12 01:42:37.510232,happy,"[8.5995795e-04 1.0460797e-04 1.2848251e-03 9.9324703e-01 9.6777611e-04
 1.0418712e-04 3.4317088e-03]"
0,2023-06-12 01:42:37.714225,happy,"[4.0105983e-04 1.8460571e-05 7.0343941e-04 9.9592775e-01 3.6022015e-04
 5.8101028e-05 2.5309643e-03]"
0,2023-06-12 01:42:38.300230,happy,"[8.3587685e-04 1.2253904e-04 4.1783939e-04 9.8889858e-01 3.8539746e-04
 5.6913879e-05 9.2829121e-03]"
0,2023-06-12 01:42:38.490229,happy,"[2.1646149e-03 2.4221909e-04 1.1992471e-03 9.7934180e-01 6.8102847e-04
 1.4630007e-04 1.6224783e-02]"
0,2023-06-12 01:42:38.682233,happy,"[6.8123946e-03 2.6029195e-03 5.0532394e-03 9.3378824e-01 4.1299644e-03
 4.1279776e-04 4.7200434e-02]"
0,2023-06-12 01:42:38.976229,happy,"[0.01343378 0.00600859 0.01511124 0.79065007 0.02610824 0.00152833
 0.14715973]"
0,2023-06-12 01:42:39.176231,neutral,"[0.05351697 0.00202559 0.04303961 0.33528423 0.11632876 0.00807925
 0.44172552]"
0,2023-06-12 01:42:39.365229,neutral,"[0.08806432 0.01690783 0.07075833 0.16919571 0.06744702 0.00519864
 0.5824281 ]"
0,2023-06-12 01:42:39.560228,happy,"[4.63510165e-03 3.92333081e-04 1.00376699e-02 8.58229399e-01
 1.69670321e-02 1.10393052e-03 1.08634524e-01]"
0,2023-06-12 01:42:39.762230,happy,"[4.8048510e-03 1.9112979e-04 1.2125926e-02 8.6149281e-01 2.4561068e-02
 1.0311686e-03 9.5793039e-02]"
0,2023-06-12 01:42:39.951633,happy,"[3.1125515e-03 3.2483134e-05 4.0565510e-03 9.3642706e-01 9.5923999e-03
 2.9166177e-04 4.6487309e-02]"
0,2023-06-12 01:42:40.157711,happy,"[9.0333895e-04 3.1770101e-05 2.1018328e-03 9.5653552e-01 3.8775336e-03
 1.6191049e-04 3.6387969e-02]"
0,2023-06-12 01:42:40.361711,happy,"[1.3281053e-04 8.1547396e-06 1.5434806e-04 9.9571961e-01 2.7225443e-04
 1.0981138e-05 3.7018496e-03]"
0,2023-06-12 01:42:41.026986,happy,"[5.3350494e-04 2.2534248e-06 1.1311860e-03 9.8211080e-01 2.4935731e-03
 2.1103910e-05 1.3707644e-02]"
0,2023-06-12 01:42:41.241984,neutral,"[0.09656074 0.00121564 0.07711482 0.22006051 0.17818223 0.00260377
 0.42426232]"
0,2023-06-12 01:42:41.447984,sad,"[0.14854895 0.00193529 0.08028893 0.19137536 0.29624107 0.00659669
 0.27501372]"
0,2023-06-12 01:42:41.642985,happy,"[0.07017197 0.00056422 0.0462253  0.43837023 0.13478157 0.00385914
 0.30602756]"
0,2023-06-12 01:42:42.026927,happy,"[5.29837143e-03 1.03271406e-04 1.44401295e-02 8.87373328e-01
 5.28634675e-02 2.81584420e-04 3.96398976e-02]"
0,2023-06-12 01:42:42.242926,happy,"[3.2752319e-03 2.7055707e-04 5.6196209e-03 9.2121005e-01 1.5072648e-02
 3.0584249e-04 5.4245986e-02]"
0,2023-06-12 01:42:42.428926,happy,"[0.01229884 0.00184454 0.01897071 0.7122695  0.03126942 0.00093619
 0.22241074]"
0,2023-06-12 01:42:42.800317,happy,"[7.0742047e-03 1.7541264e-03 1.1988291e-02 8.8687515e-01 8.6562578e-03
 4.7241824e-04 8.3179444e-02]"
0,2023-06-12 01:42:43.042318,happy,"[0.03482058 0.03092649 0.10879776 0.3588303  0.11711262 0.00367613
 0.34583607]"
0,2023-06-12 01:42:43.257326,happy,"[0.01678043 0.01398569 0.04116513 0.5443574  0.08361535 0.00250836
 0.2975876 ]"
0,2023-06-12 01:42:43.446320,happy,"[0.01458745 0.0130237  0.04776364 0.59281576 0.0901162  0.00265609
 0.23903719]"
0,2023-06-12 01:42:43.647698,happy,"[0.01279661 0.00944345 0.04768784 0.52982956 0.07296922 0.00358383
 0.3236895 ]"
0,2023-06-12 01:42:43.864697,happy,"[0.01876155 0.00339099 0.04150553 0.5512245  0.04320744 0.00199335
 0.33991665]"
0,2023-06-12 01:42:44.076644,happy,"[0.00877406 0.00421929 0.02330439 0.7519076  0.03445761 0.00123968
 0.17609742]"
0,2023-06-12 01:42:44.292583,happy,"[0.00669495 0.00487859 0.02169054 0.7131996  0.04786048 0.00104979
 0.20462601]"
0,2023-06-12 01:42:44.520585,happy,"[0.03763226 0.00394987 0.05178077 0.45308965 0.12539862 0.00253753
 0.32561126]"
0,2023-06-12 01:42:44.825583,happy,"[0.12199265 0.01086589 0.11643487 0.2742323  0.216054   0.00461718
 0.2558031 ]"
0,2023-06-12 01:42:45.085589,happy,"[0.15443178 0.00435088 0.13734041 0.32743    0.26159784 0.00419591
 0.11065318]"
0,2023-06-12 01:42:45.368681,happy,"[0.07103802 0.00064175 0.06952506 0.55681163 0.2328839  0.0042683
 0.06483138]"
0,2023-06-12 01:42:45.625680,happy,"[0.05475187 0.00077934 0.08681156 0.59265643 0.18353869 0.00652714
 0.07493498]"
0,2023-06-12 01:42:45.854063,happy,"[0.07685807 0.00219876 0.12048297 0.48786032 0.20939496 0.00725101
 0.09595383]"
0,2023-06-12 01:42:46.127708,happy,"[2.5760004e-02 3.1932615e-04 4.1728821e-02 7.2381771e-01 1.2369597e-01
 2.0022283e-03 8.2675859e-02]"
0,2023-06-12 01:42:46.404513,happy,"[1.7600046e-02 2.7220193e-04 2.5639208e-02 8.0402762e-01 5.0433841e-02
 1.2240235e-03 1.0080313e-01]"
0,2023-06-12 01:42:46.638792,happy,"[4.2407750e-03 6.3297615e-05 9.1801537e-03 9.1760927e-01 1.7859835e-02
 2.9874578e-04 5.0747856e-02]"
0,2023-06-12 01:42:46.867794,happy,"[1.4556891e-03 9.0790700e-06 3.1671263e-03 9.7875345e-01 5.1305140e-03
 1.3034117e-04 1.1353803e-02]"
0,2023-06-12 01:42:47.135800,happy,"[2.06027478e-02 3.98323973e-05 1.03724785e-01 6.08610690e-01
 1.98357716e-01 7.67954346e-03 6.09846897e-02]"
0,2023-06-12 01:42:47.344809,sad,"[5.1116765e-02 5.6265326e-05 2.6845282e-01 1.9125389e-01 3.8176066e-01
 2.3076233e-02 8.4283344e-02]"
0,2023-06-12 01:42:47.539119,sad,"[8.5975662e-02 2.5172747e-04 2.5413501e-01 1.6598079e-01 3.4799221e-01
 7.3202036e-02 7.2462492e-02]"
0,2023-06-12 01:42:47.741121,scared,"[0.14627618 0.00251841 0.22614528 0.14866619 0.17274846 0.18715225
 0.11649323]"
0,2023-06-12 01:42:47.940125,scared,"[0.1270456  0.00709391 0.31328407 0.12830094 0.2205496  0.12105739
 0.08266853]"
0,2023-06-12 01:42:48.133132,scared,"[0.11330183 0.00151933 0.38411114 0.14046414 0.14456618 0.11679889
 0.09923846]"
0,2023-06-12 01:42:48.314132,scared,"[0.15751994 0.00190881 0.36188072 0.07235105 0.20573488 0.08101239
 0.11959224]"
0,2023-06-12 01:42:48.506031,scared,"[0.18439358 0.00458744 0.31889302 0.09844612 0.25056872 0.04341039
 0.09970074]"
0,2023-06-12 01:42:48.695037,happy,"[0.10678174 0.00088354 0.07850998 0.5442609  0.1145998  0.03248739
 0.12247659]"
0,2023-06-12 01:42:48.990029,happy,"[0.17176314 0.00221631 0.18313387 0.2983025  0.15134373 0.02335623
 0.16988413]"
0,2023-06-12 01:42:49.180291,happy,"[0.12327307 0.0017639  0.11009873 0.4507179  0.09554286 0.00876922
 0.20983429]"
0,2023-06-12 01:42:49.366120,angry,"[0.22400889 0.00169356 0.2094731  0.21937688 0.15094422 0.02928215
 0.16522107]"
0,2023-06-12 01:42:49.561119,happy,"[0.26076138 0.00108765 0.15913953 0.33297005 0.08792689 0.04811012
 0.11000427]"
0,2023-06-12 01:42:49.754508,angry,"[0.2908362  0.00323624 0.22989257 0.18835421 0.11489611 0.03667353
 0.13611117]"
0,2023-06-12 01:42:49.941507,happy,"[0.21693535 0.0012704  0.16185205 0.32796147 0.09523867 0.03394104
 0.16280109]"
0,2023-06-12 01:42:50.164107,happy,"[0.14365515 0.00236348 0.10144057 0.44090822 0.06796639 0.03369631
 0.20996983]"
0,2023-06-12 01:42:50.358108,happy,"[0.12768108 0.0011439  0.07367653 0.45993757 0.06638542 0.019139
 0.25203657]"
0,2023-06-12 01:42:50.551108,neutral,"[0.1698125  0.00126313 0.07072508 0.22383182 0.05242689 0.01744446
 0.46449614]"
0,2023-06-12 01:42:50.735420,neutral,"[0.15735658 0.00206263 0.05549253 0.15270717 0.04956006 0.01904427
 0.56377673]"
0,2023-06-12 01:42:51.505390,neutral,"[0.14469661 0.00143381 0.09628515 0.09256816 0.06269357 0.02752476
 0.57479787]"
0,2023-06-12 01:42:51.733397,neutral,"[0.14839064 0.00162624 0.07002448 0.11505137 0.10559662 0.01460231
 0.54470843]"
0,2023-06-12 01:42:51.934389,neutral,"[0.17355397 0.00094677 0.03931129 0.22551158 0.05513931 0.01138268
 0.49415445]"
0,2023-06-12 01:42:52.141409,neutral,"[0.12366292 0.00096009 0.05068572 0.3133543  0.077532   0.00856857
 0.4252364 ]"
0,2023-06-12 01:42:52.615823,happy,"[3.9533801e-02 3.1725309e-04 2.4613407e-02 7.0739675e-01 3.9199278e-02
 6.2660221e-03 1.8267341e-01]"
0,2023-06-12 01:42:52.804824,happy,"[4.5423664e-04 5.2537071e-06 4.2759615e-04 9.9500620e-01 1.1141760e-03
 3.2025211e-05 2.9606028e-03]"
0,2023-06-12 01:42:52.995824,happy,"[0.09649871 0.00091024 0.10089295 0.28630456 0.21846701 0.08311959
 0.21380694]"
0,2023-06-12 01:42:56.456326,happy,"[1.8222803e-02 7.9293171e-04 9.9296933e-03 9.1684097e-01 7.0496327e-03
 6.9812732e-04 4.6465874e-02]"
0,2023-06-12 01:42:56.649326,happy,"[1.0069718e-02 3.0856693e-04 8.4467875e-03 9.2466593e-01 8.3100405e-03
 6.0638029e-04 4.7592569e-02]"
0,2023-06-12 01:42:56.855324,happy,"[9.828357e-05 7.675764e-07 6.605524e-05 9.994011e-01 9.479606e-05
 8.743302e-06 3.303269e-04]"
0,2023-06-12 01:42:57.064325,happy,"[6.5939402e-04 1.2913577e-05 2.7756894e-04 9.9805486e-01 9.7134049e-05
 9.2846167e-05 8.0530869e-04]"
0,2023-06-12 01:42:57.270326,happy,"[1.0868732e-03 2.1929409e-05 6.1179901e-04 9.8782873e-01 5.1644869e-04
 8.6051790e-05 9.8482389e-03]"
0,2023-06-12 01:42:57.510851,happy,"[0.2647199  0.03322889 0.08450807 0.3015359  0.0738268  0.01572601
 0.22645448]"
0,2023-06-12 01:42:57.712852,angry,"[0.34739554 0.00612681 0.31712753 0.14493638 0.05742095 0.03454836
 0.09244443]"
1,2023-06-12 01:42:57.903850,angry,"[0.2841281  0.02266126 0.17003994 0.17309661 0.09075925 0.04364726
 0.2156675 ]"
0,2023-06-12 01:42:58.126330,angry,"[0.25058636 0.01707288 0.23076513 0.07908792 0.08876665 0.08563136
 0.2480897 ]"
0,2023-06-12 01:42:58.349327,angry,"[0.31866118 0.01095057 0.24929635 0.10057207 0.1002054  0.05767474
 0.16263968]"
0,2023-06-12 01:42:58.572329,scared,"[0.28384718 0.01049814 0.2846261  0.14279003 0.10299958 0.04299377
 0.13224517]"
0,2023-06-12 01:42:58.796629,angry,"[0.28354934 0.00366295 0.25363013 0.20456675 0.1116711  0.01991293
 0.12300673]"
0,2023-06-12 01:42:59.021248,happy,"[0.20838957 0.00218199 0.18144149 0.35898468 0.10097328 0.0163864
 0.13164262]"
0,2023-06-12 01:42:59.252246,neutral,"[0.18549305 0.00097691 0.17728414 0.2028953  0.10956993 0.01600282
 0.3077779 ]"
0,2023-06-12 01:42:59.500560,neutral,"[0.11420041 0.00204815 0.14588001 0.10714179 0.12354128 0.02066101
 0.4865273 ]"
0,2023-06-12 01:42:59.734564,neutral,"[0.07522288 0.00268658 0.10698724 0.07520805 0.09304808 0.01623671
 0.6306104 ]"
0,2023-06-12 01:42:59.991568,neutral,"[0.07658499 0.00251078 0.1525645  0.02308771 0.13960885 0.01303218
 0.592611  ]"
0,2023-06-12 01:43:00.235560,neutral,"[0.10946784 0.00186932 0.14576274 0.02358886 0.1375652  0.01491329
 0.5668327 ]"
0,2023-06-12 01:43:00.490912,neutral,"[0.10510478 0.00331038 0.12953267 0.02886398 0.1139766  0.00989747
 0.60931414]"
0,2023-06-12 01:43:00.717105,neutral,"[0.13682196 0.00341706 0.14205676 0.02145593 0.1279231  0.01076081
 0.5575644 ]"
0,2023-06-12 01:43:01.517275,neutral,"[0.12153748 0.00515903 0.08917803 0.02081021 0.07812417 0.01364477
 0.67154634]"
0,2023-06-12 01:43:01.772714,neutral,"[0.1050165  0.00382566 0.11611755 0.03565601 0.10051273 0.00879944
 0.6300721 ]"
0,2023-06-12 01:43:02.024712,neutral,"[0.10867505 0.0032665  0.07276032 0.02750485 0.0781784  0.01257178
 0.69704306]"
0,2023-06-12 01:43:02.260307,neutral,"[0.07058282 0.00272024 0.08145744 0.0259328  0.06847696 0.01646438
 0.73436546]"
0,2023-06-12 01:43:02.611306,neutral,"[0.12354155 0.00632537 0.05962769 0.03494404 0.05372562 0.01623961
 0.7055962 ]"
0,2023-06-12 01:43:02.842307,neutral,"[0.1664729  0.01294142 0.04736079 0.04134797 0.06184156 0.01727617
 0.6527592 ]"
0,2023-06-12 01:43:03.086309,neutral,"[0.12800215 0.01062055 0.04967032 0.03923562 0.07117578 0.02107421
 0.6802213 ]"
0,2023-06-12 01:43:03.322308,neutral,"[0.15719894 0.01636824 0.05647914 0.03593094 0.07551578 0.0150153
 0.6434917 ]"
0,2023-06-12 01:43:03.550321,neutral,"[0.08245759 0.019569   0.05450702 0.02499584 0.05961534 0.01249785
 0.7463573 ]"
0,2023-06-12 01:43:03.777677,neutral,"[0.05843482 0.01608852 0.06507068 0.02466221 0.05800482 0.00666701
 0.77107203]"
0,2023-06-12 01:43:04.018680,neutral,"[0.03349694 0.03108995 0.06160432 0.0320494  0.05049502 0.00592052
 0.78534377]"
0,2023-06-12 01:43:04.236932,neutral,"[0.04968666 0.0142524  0.05212773 0.03959816 0.05597907 0.00974819
 0.7786078 ]"
0,2023-06-12 01:43:04.467928,neutral,"[0.04158113 0.01173408 0.05406918 0.03806077 0.04349944 0.0073411
 0.8037143 ]"
0,2023-06-12 01:43:04.694852,neutral,"[0.05195334 0.02616308 0.07362477 0.03206394 0.04610134 0.00786331
 0.7622302 ]"
0,2023-06-12 01:43:04.920000,neutral,"[0.04850862 0.01187519 0.0513847  0.05959964 0.04060641 0.00832625
 0.7796991 ]"
0,2023-06-12 01:43:05.716463,neutral,"[0.03209363 0.00239257 0.0522863  0.08308914 0.04405463 0.00420757
 0.7818761 ]"
0,2023-06-12 01:43:05.938463,neutral,"[0.04397715 0.00087387 0.0518506  0.20368485 0.04981608 0.00398525
 0.64581215]"
0,2023-06-12 01:43:06.157466,neutral,"[0.12093795 0.00662822 0.08781596 0.14700097 0.06637083 0.00816893
 0.56307715]"
0,2023-06-12 01:43:06.390465,neutral,"[0.19807892 0.02803016 0.08975157 0.16154064 0.07346193 0.01790019
 0.43123662]"
0,2023-06-12 01:43:06.607452,neutral,"[0.2009283  0.00987748 0.12883134 0.21691416 0.08136264 0.02576578
 0.33632034]"
0,2023-06-12 01:43:06.835451,neutral,"[0.2115385  0.01815815 0.11314838 0.15453972 0.08603182 0.02901079
 0.38757268]"
0,2023-06-12 01:43:07.061057,neutral,"[0.18306856 0.00867917 0.10992882 0.15323816 0.09714977 0.02973379
 0.4182017 ]"
0,2023-06-12 01:43:07.284055,neutral,"[0.13956034 0.01395876 0.10183533 0.28426507 0.0985493  0.02023
 0.34160116]"
0,2023-06-12 01:43:07.526057,neutral,"[0.10269923 0.01252632 0.08017952 0.3126753  0.08021481 0.01090727
 0.40079758]"
0,2023-06-12 01:43:07.747062,neutral,"[0.09766373 0.00899446 0.07402861 0.34385777 0.06482982 0.00855039
 0.40207523]"
0,2023-06-12 01:43:07.977060,happy,"[0.08875749 0.01410917 0.06235367 0.4070421  0.07108618 0.00439094
 0.35226053]"
0,2023-06-12 01:43:08.207421,happy,"[0.11806525 0.00792782 0.0790981  0.3555781  0.0857579  0.00400348
 0.34956932]"
0,2023-06-12 01:43:08.427428,happy,"[0.08530102 0.00802241 0.05525183 0.4094606  0.06782779 0.00357484
 0.37056145]"
0,2023-06-12 01:43:08.663973,neutral,"[0.13219178 0.02648243 0.05711691 0.26447973 0.08916768 0.00420997
 0.42635155]"
0,2023-06-12 01:43:08.897276,happy,"[0.06292894 0.00110295 0.09205265 0.32743362 0.24881078 0.00477997
 0.26289114]"
0,2023-06-12 01:43:09.133919,happy,"[0.0484526  0.01551515 0.09843809 0.34208542 0.20024306 0.00847296
 0.28679267]"
0,2023-06-12 01:43:09.351917,happy,"[0.0598123  0.00289766 0.09597026 0.5226897  0.09887382 0.00468563
 0.2150707 ]"
0,2023-06-12 01:43:09.574917,neutral,"[0.04456669 0.00790965 0.1052216  0.26533553 0.10946604 0.00502988
 0.46247065]"
0,2023-06-12 01:43:09.811916,happy,"[0.04434626 0.00184836 0.1535588  0.3542402  0.14699861 0.00969461
 0.28931317]"
0,2023-06-12 01:43:10.040918,happy,"[0.02380789 0.00079364 0.05234718 0.46058294 0.09589113 0.00381029
 0.36276704]"
0,2023-06-12 01:43:10.274916,neutral,"[0.02538345 0.00086401 0.04769343 0.40301967 0.05141038 0.0012426
 0.47038642]"
0,2023-06-12 01:43:10.512917,happy,"[0.01761658 0.01328286 0.02326498 0.56136614 0.02666667 0.00131217
 0.35649058]"
1,2023-06-12 01:43:10.729917,neutral,"[0.03379425 0.01618995 0.05052262 0.35948431 0.03952682 0.00293524
 0.49754673]"
0,2023-06-12 01:43:10.938916,neutral,"[0.20850012 0.03290506 0.07947221 0.17999247 0.08099497 0.03005638
 0.38807884]"
0,2023-06-12 01:43:11.159144,happy,"[0.0189936  0.01093254 0.07722078 0.5341713  0.0367802  0.01233714
 0.3095644 ]"
1,2023-06-12 01:43:11.372143,neutral,"[0.02889133 0.02397365 0.1334753  0.2824609  0.08242503 0.02380291
 0.42497087]"
0,2023-06-12 01:43:11.585166,scared,"[0.26211193 0.0046741  0.28523523 0.12076896 0.12687035 0.03546866
 0.16487081]"
0,2023-06-12 01:43:11.907168,happy,"[0.18993464 0.0080551  0.11843933 0.3933701  0.09928372 0.01338251
 0.17753458]"
0,2023-06-12 01:43:12.147169,scared,"[0.263375   0.01952222 0.26986676 0.03976332 0.08814403 0.06926056
 0.2500681 ]"
0,2023-06-12 01:43:12.422166,scared,"[0.29339594 0.00924955 0.3216008  0.03745308 0.10915922 0.02331521
 0.20582625]"
